variavel,codigo,rotulo
q58,1,5 ou mais
q58,2,3 a 4
q58,3,1 a 2
q58,4,não costuma assistir televisão
r149,555,menos de uma vez por semana
r149,888,não quis responder
r150_hh,,
r150_mm,,
q59,1,menos de 1 hora
q59,2,entre 1 e 2 horas
q59,3,entre 2 e 3 horas
q59,4,entre 3 e 4 horas
q59,5,entre 4 e 5 horas
q59,6,entre 5 e 6 horas
q59,7,mais de 6 horas
q59a,1,menos de 1 hora
q59a,2,entre 1 e 2 horas
q59a,3,entre 2 e 3 horas
q59a,4,entre 3 e 4 horas
q59a,5,entre 4 e 5 horas
q59a,6,entre 5 e 6 horas
q59a,7,mais de 6 horas
q59a,8,não assiste televisão
q59b,1,sim
q59b,2,não
q59b,777,não sabe
q59c,1,menos de 1 hora
q59c,2,entre 1 e 2 horas
q59c,3,entre 2 e 3 horas
q59c,4,entre 3 e 4 horas
q59c,5,entre 4 e 5 horas
q59c,6,entre 5 e 6 horas
q59c,7,mais de 6 horas
r901,1,próprio entrevistado
r901,2,cônjuge ou companheiro(a)
r901,3,filho(a)
r901,4,enteado(a)
r901,5,genro ou nora
r901,6,"pai, mãe, padrasto ou madrasta"
r901,7,sogro(a)
r901,8,neto(a)/bisneto(a)
r901,9,irmão(a)
r901,10,avô ou avó
r901,11,outro parente – Qual? ____________________
r901,777,não sabe/não quis responder
r901,888,não quis responder
r902,1,menos de 2 anos
r902,2,entre 2 e 4 anos
r902,3,5 anos ou mais
r902,777,não sabe
q60,1,"sim, diariamente"
q60,2,"sim, mas não diariamente"
q60,3,não
q61,,
q61,777,não sabe
q61,888,não quis informar
q61a,1,1 a 4
q61a,2,05 a 09
q61a,3,10 a 14
q61a,4,15 a 19
q61a,5,20 a 29
q61a,6,30 a 39
q61a,7,40 ou mais
q61a,777,não sabe
q61a,888,não quis informar
q61_fx,1,01 a 04
q61_fx,2,05 a 09
q61_fx,3,10 a 14
q61_fx,4,15 a 19
q61_fx,5,20 a 29
q61_fx,6,30 a 39
q61_fx,7,40 ou mais
q61_fx,888,não sabe/não quis responder
q61a_fx,1,01 a 04
q61a_fx,2,05 a 09
q61a_fx,3,10 a 14
q61a_fx,4,15 a 19
q61a_fx,5,20 a 29
q61a_fx,6,30 a 39
q61a_fx,7,40 ou mais
q61a_fx,888,não sabe/não quis responder
r405,1,sim
r405,2,não
r405,888,não quis informar
q62,777,não lembra
q63,1,sim
q63,2,não
q64,1,"sim, diariamente"
q64,2,"sim, mas não diariamente"
q64,3,não
q65,,
q65,777,não sabe
q65,888,não quis informar
q66,,
q66,777,não sabe
q66,888,não quis informar
q67,1,sim
q67,2,não
q67,888,não quis informar
q67,999,mora sozinho
q68,1,sim
q68,2,não
q68,777,não sabe
q68,888,não quis informar
r157,1,sim
r157,2,não
r157,888,não quis informar
r401,1,cigarros
r401,2,macos (ou carteira)
r401,3,pacotes
r401,4,nao compro cigarros para uso proprio
r401a_1,,
r401b_1,,
r401b_2,,
r401c_1,,
r401c_2,,
r401c_3,,
r402,,
r402,777,não sabe
r402,888,não quis informar
r404,,
r403,1,"sim, diariamente"
r403,2,"sim, menos do que diariamente"
r403,3,"nao, mas ja usei no passado"
r403,4,nunca usei
r403a,1,"sim, diariamente"
r403a,2,"sim, menos do que diariamente"
r403a,3,"nao, mas ja usei no passado"
r403a,4,nunca usei
q72,1,menos de 1 ano
q72,2,entre 1 e 2 anos
q72,3,entre 2 e 3 anos
q72,4,entre 3 e 4 anos
q72,5,entre 4 e 5 anos
q72,6,mais de 5 anos
q72,777,não lembra
q73,1,sim
q73,2,não
q73,888,não quis informar
q74,1,muito bom
q74,2,bom
q74,3,regular
q74,4,ruim
q74,5,muito ruim
q74,777,não sabe
q74,888,não quis informar
q75,1,sim
q75,2,não
q75,777,não sabe
r203,1,sim
r203,2,não
r203,777,não sabe
r203,888,não quis informar
r129,1,sim
r129,2,não
r129,777,não sabe
r130,1,unidade de saude do SUS
r130,2,Farmácia Popular
r130,3,outro lugar
r130,777,não sabe
r130,888,não quis responder
r130a,1,unidade de saude do SUS
r130a,2,"Programa ""farmácia popular"" do governo federal"
r130a,3,"outro lugar (farmácia privada/particular, drogaria)"
r130a,777,não sabe
r130a,888,não quis responder
r174,1,sim
r174,2,não
r174,777,não sabe
r175,1,menos de 6 meses
r175,2,entre 6 meses e 1 ano
r175,3,entre 1 e 2 anos
r175,4,entre 2 e 3 anos
r175,5,3 anos ou mais
r175,6,nunca
r175,777,nao sabe / nao lembra
q76,1,sim
q76,2,não
q76,777,não sabe
q76a,1,sim
q76a,2,não
q76a,777,não sabe
r138,1,sim
r138,2,não
r138,3,nunca engravidou
r138,777,não sabe
r202,777,não sabe / não lembra
r204,1,sim
r204,2,não
r204,777,não sabe
r133,1,sim
r133,2,não
r133,777,não sabe
r133,888,não quis informar
r133a,1,sim
r133a,2,não
r133a,777,não sabe
r133a,888,não quis informar
r134c,1,unidade de saude do SUS
r134c,2,"Programa ""farmácia popular"""
r134c,3,"outro lugar (farmácia privada/particular, drogaria)"
r134c,777,não sabe
r134c,888,não quis responder
d3,1,sim
d3,2,não
d3,777,não sabe
